Application Id,Application Date,Publication Date,Country,Title,Abstract,Applicants,Inventors,y
CN375287030,24.06.2021,13.09.2022,CN,一种制肥机器人,本实用新型提出一种制肥机器人，包括：相邻设置的第一沟槽和第二沟槽、沿所述第一沟槽和第二沟槽的长度方向设置的第一轨道组、沿所述第一轨道组行走的行走机构、以及设置在所述行走机构上的翻堆机构；原料从进料口放入，所述翻堆机构沿所述第一轨道组的导向方向水平移动在所述第一沟槽和第二沟槽内进行翻堆；行走机构进行变频调速，具有可混合物料、水平移动、翻堆效率高、运行平稳、能进行深槽作业的优点，能有效的缩短发酵周期，提高堆肥质量。曝气系统进行间歇式供养，产生的异味废气经由所述除臭系统的除臭管道自下而上进入生物喷淋循环系统，洗涤液自上而下进行洗涤，传质过程中进行除尘、吸收异味以及废气降解转化送入烟囱达标排放。,"HUNAN HZJ ENVIRONMENTAL PROTECTION TECHNOLOGY CO., LTD.; 湖南华芝洁环保科技有限公司",TAN JUNHUA; 谭俊华,1
CN158093851,28.06.2013,12.02.2014,CN,一种新型翻抛机,一种新型翻抛机，安装于复合肥发酵槽导轨上，主要包括，桁架、安装于桁架上与驱动装置连接的翻抛装置、安装于桁架底部与驱动装置连接的行走装置，翻抛装置为可升降式结构；翻抛装置由安装于桁架前端的浅翻抛装置和位于桁架中间的深翻抛装置组成。本实用新型通过对翻抛装置进行改进，将其设计成液压驱动的可升降式结构及利用双翻抛装置深浅配合，可实现对堆肥首先进行浅翻抛，将肥料表层疏松，后进行深翻抛，将堆肥进行完全性彻底翻抛，尤其适用于肥料堆积厚度较高的场合，将翻抛装置上耙齿的受力分散，最大程度上保护耙齿，相比于单个翻抛装置，其翻抛质量和翻抛效率得到了大大提高。,江苏沃野生物科技发展有限公司,杨善忠,1
JP272064986,02.10.2008,15.04.2010,JP,METHOD FOR RECOVERING CARBON DIOXIDE FROM EXHAUST GAS,"PROBLEM TO BE SOLVED: To provide a method for removing and recovering carbon dioxide from exhaust gas, whereby carbon dioxide can be efficiently removed and recovered from the exhaust gas while minimizing material cost.SOLUTION: A washing liquid, obtained by washing heated residue of livestock feces or livestock feces compost with water in a washing tank (2), is contacted with combustion exhaust gas in an absorption tower (5) so as to induce absorption of carbon dioxide in the combustion exhaust gas by the washing liquid. Subsequently, carbon dioxide is recovered from the washing liquid that has absorbed the carbon dioxide in a regeneration tower (7).COPYRIGHT: (C)2010,JPO&INPIT",HITACHI ZOSEN CORP; 日立造船株式会社,HAMANO SHUJI; 浜野　修史,0
CN92107043,28.06.2013,02.10.2013,CN,一种以污泥为原料制备富氢燃气的方法和产品,本发明提供一种以污泥为原料制备富氢燃气的方法和产品，其特征在于将剩余污泥输送至隔绝空气的密闭反应器中，密闭反应器保持在水热条件下（温度为200-500℃、压力为8-30MPa），反应一段时间，产生的富氢燃气（氢气含量30%-70%）连通气液分离器，将富氢燃气输入储气罐储存。通过开启反应器输入阀与输出阀，将反应器中反应后的无机盐、污泥碳、有机液排入脱盐器，实现固液分离，固体组分输入碳化室进行碳化得到无污染、有肥效的污泥碳。相比现有工艺如堆肥、厌氧消化、干化、焚烧等工艺，本发明具有工艺简单、无需对污泥进行成本高的干化脱水处理，去除臭味，杀死寄生虫卵，同时能得到富氢燃气，实现了污泥资源化、能源化的综合利用等优点。,华南农业大学,郑明涛; 刘应亮; 刘向荣; 雷炳富; 肖勇; 董汉武; 张浩然; 冯濠彬,0
GB135494094,19.04.1971,21.03.1973,GB,COMPOST AND REFUSE SHREDDING AND SHIFTING APPARATUS,"1310338 Compost turners H T COBEY 19 April 1971 [30 March 1970] 25448/71 Heading B1C A compost turner comprises a self-propelled articulated vehicle having a boom 20 from which depends by a universal coupling 45 a frame 30 which mounts an endless movable web having shredding elements and providing an upwardly and forwardly directed working face. The boom is pivoted at 21 and can be vertically adjusted by a hydraulic cylinder 23 and swing longitudinally on a turntable 24. The inclination of the web may be adjusted by cylinders 46, 47 so that material may be projected to one side of the moving apparatus. There may be a cooperating reversible spiked shredding drum 50 (see also Figs. 4-6, not shown) resiliently mounted and adjustable parallel to the web by means of hydraulic cylinders 76 (77); there may be combs (65) with slots (66) accommodating the drum spikes (53). Ejected material may be slowed by a restrictor plate 80 and elements 83 which may be plates hinged thereto and acted on by springs 84, or which may be of spring steel. A hinged plate 90 guides the material into contact with the web. The web and drum are driven by hydraulic motors. The web may have a backing plate (48) and may be of chains, cables or belts with cross-bars, or with a continuous sheet of fabric or woven mesh.",COBEY H T,COBEY H T,1
CN324175020,07.05.2020,07.05.2021,CN,一种立式好氧发酵罐的提升装置,本实用新型提供了一种立式好氧发酵罐的提升装置，涉及新装备制造技术领域，活动槽内壁前后两端均开有与其为一体的内嵌槽，电机左侧转动连接有转轴，且转轴外端贯穿设置于框架右端，转轴依次延伸过右侧的预留槽且嵌接于左侧的预留槽内壁，且转轴外壁左右两侧均套接有挡盘，载料箱左右两侧前端均固定连接有连接杆，且载料箱左右两侧远离连接杆的一端均焊接有贯穿柱，贯穿柱外端均焊接有滑块，防止载料箱在提升过程中出现摇晃的情况，内嵌槽恰好与贯穿柱的外端进行衔接，可提高连接的稳定性，进一步稳定载料箱，解决了因为输送过程中所承载的重力较重，并且提升装置采用锁链或是绳索拉动，导致料斗很容易出现摇晃的情况，导致物料输送不稳定的问题。,"HENAN JIANFENG ENVIRONMENTAL PROTECTION EQUIPMENT MANUFACTURING CO., LTD.; 河南建丰环保设备制造有限公司",THE INVENTOR HAS WAIVED THE RIGHT TO BE MENTIONED; 不公告发明人,2
CN345743387,03.11.2021,17.12.2021,CN,一种混合垃圾堆肥装置及堆肥方法,本发明提供了一种混合垃圾堆积装置及堆肥方法，其中的混合垃圾堆积装置包括罐体，所述罐体用于堆积所述混合垃圾，所述罐体上设置有进料口及出料口；堆心温度传感器，所述堆心温度传感器设置在所述罐体内，所述堆心温度传感器用于获取堆积在所述罐体内的所述混合垃圾的堆心温度值；温度调节机构，所述温度调节机构设置在所述罐体上，所述温度调节机构被配置为基于所述堆心温度传感器获取的所述堆心温度值调节所述罐体内的温度。本发明提供的混合垃圾堆肥装置，适合于实施对混合垃圾的程序式阶段升温堆肥，从而缩短堆肥周期，实现对混合垃圾中的有机质的高效资源化利用。,SHANGHAI JIAO TONG UNIVERSITY; 上海交通大学,ZHANG BO; 张波; LIU BOTAO; 刘博涛; SUN PENGYU; 孙鹏宇,2
CN371012751,25.05.2022,29.07.2022,CN,一种低碳微氧腐殖化堆肥除臭循环系统,本发明提供了一种低碳微氧腐殖化堆肥除臭循环系统，包括微氧发酵箱和设置在微氧发酵箱一侧的水箱，所述微氧发酵箱的端面通过螺栓螺纹连接有密封盖板，所述密封盖板的表面开设有投料口，所述密封盖板表面的一侧开设有滑动槽。本发明结构合理，调节灵活，当臭气达到一定浓度回用时通过打开第一电磁阀使臭气经循环管重新进入到微氧发酵箱，对堆肥进行发酵处理。当臭气浓度较低不回用时，则通过关闭第一电磁阀，打开第二电磁阀，使臭气经排气管进入到过滤机构中的气体过滤管进行排出，通过上述技术方案避免了臭气排出导致堆肥发酵不充分的问题发生。,"BEIJING SILIANG TECHNOLOGY CO., LTD.; 北京四良科技有限公司",YU JIAYI; 于家伊; ZHANG WEN; 张文; LIU MO; 刘墨; HU BAOFU; 胡宝富,0
CN246720596,12.09.2018,18.06.2019,CN,翻抛爪可伸缩式翻抛机,本实用新型公开了一种翻抛爪可伸缩式翻抛机，所述行走轮活动安装在托架上，所述第一电机固定安装在托架上，第一电机与行走轮传动连接，所述空心滚筒可转动地活动安装在托架底部，所述第二电机固定安装在托架上，并与空心滚筒传动连接，在空心滚筒的内侧壁上设置有沿周向分布的限位座，在该限位座内开设有与空心滚筒侧壁相贯穿的限位槽，在限位座的限位槽处还开设有导向槽，在所述支座上设置有连接板，本实用新型优点是：可进行翻抛作业，也可进行翻堆作业，很好地适应了翻抛或翻堆的不同作业需要，使用起来十分方便灵活。,"JINGMEN WELLTRY INDUSTRIER CO., LTD.; 荆门市万泰机械有限公司",HUANG CHENG; 黄成,1
CN297148696,12.09.2019,09.06.2020,CN,一种智能好氧堆肥培养箱体,一种智能好氧堆肥培养箱体，包括箱体，所述箱体上设有翻转搅拌装置、含水量控制装置、温度控制装置、氧气浓度控制装置，所述箱体旁还设有智能控制装置；所述智能控制装置包括控制柜台、设置在控制柜台上的显示屏、设置在控制柜台内的控制器，所述翻转搅拌装置、含水量控制装置、温度控制装置、氧气浓度控制装置由控制器连接控制，所述控制柜台上设有容纳槽，所述容纳槽内设有用于检测堆肥物料碳氮比的碳氮比检测仪，所述碳氮比检测仪的输出端与控制器的输入端连接。本实用新型可以通过上述装置，使箱体内腔的堆肥环境始终保持稳定，使堆肥物料进行有效稳定的工作，减少人工参与程度，实现堆肥自动化，提高堆肥效率以及保证堆肥质量。,CHEN SIWEI; 陈思维,CHEN SIWEI; 陈思维,0
US38449103,26.01.1993,07.03.1995,US,Apparatus and process used in working windrowed ingredients to produce pre-wet cycle mushroom compost,"A mobile machine and process are provided for milling, mixing, wetting and re-forming an initial windrow of vertically layered ingredients used in the pre-wet cycle for producing mushroom compost. In performing these actions, an assembly of toothed drums, rotating in the same direction and arranged along an upwardly and forwardly projecting inclined plane, progressively mills the windrow across its cross-section longitudinally and propels the milled material upwardly and rearwardly so that it drops and mixes to form a vertically blended, transverse product. The product is preferably cross-mixed by auguring it transversely and depositing it at a transfer point, from whence it is elevated and delivered by a conveyor belt, to form a new windrow parallel or collinear with the initial windrow. Water is sprayed on the ingredients in the course of propelling auguring and elevating. A generally uniform blending of the ingredients, coupled with aeration and wetting, creates favorable conditions for contained bacteria to work on the material. The procedure is repeated on each new windrow until the pre-wet cycle is complete.",Double T Equipment Manufacturing Ltd.,Thomas Thomas M.,0
CN311643328,12.08.2020,10.11.2020,CN,一种乡村规划用污水处理装置,本发明涉及污水处理技术领域，尤其是公开了一种乡村规划用污水处理装置，包括半埋式罐体，所述半埋式罐体内部通过分隔板分隔出沉淀池、有氧发酵池和除臭池，所述半埋式罐体一端上侧焊接有连通到所述沉淀池内的进水管，所述沉淀池内部设置有杂物清理输送机，所述沉淀池与所述有氧发酵池之间的隔板下端镶嵌有第一过滤网，所述有氧发酵池与所述除臭池之间的隔板下端镶嵌有第二过滤网。有益效果在于：半埋式设计，方便污水流入；结构简单，占地面积小，投入成本低；自动化作业，降低工作人员的工作强度；可以自动对污水内的杂物进行清理，并对污水中有机物进行清理，减少处理后废水中的杂物和有害物质含量，减少废水排放后的环境污染。,XINYANG COLLEGE OF AGRICULTURE AND FORESTRY; 信阳农林学院,WAN YING; 万莹; LIU ANG; 刘昂; XU SHANSHAN; 徐珊珊,0
CN343790555,19.05.2021,23.11.2021,CN,废弃物处理装置,一种废弃物处理装置，其容易进行向容器投入前的有机性废弃物的管理，可实现投入作业的效率化。废弃物处理装置(1)从纵型的容器(2)的上部的投入口(2a)向容器(2)内投入有机性废弃物，一边由搅拌翼(4)搅拌该有机性废弃物一边使之发酵及干燥来进行有机性废弃物的堆肥化，其中，具有压送有机性废弃物的压送组件(10)，由压送组件(10)压送的有机性废弃物从投入口(2a)投入。,"CHUBU ECOTEC CO., LTD.; 中部埃科特克株式会社",YOSHIDA TATSUHIRO; 吉田达宏; ARAKAWA TOMOKO; 荒川友子; KANESHIRO YOSHIMI; 金城淑美,0
JP268993012,31.08.2000,08.03.2002,JP,FERMENTATION TREATMENT SYSTEM,"PROBLEM TO BE SOLVED: To produce good-quality compost in a shorter period by effecting better fermentation in subjecting various kinds of organic materials to fermentation treatment by a batch system.SOLUTION: In composting the raw materials 10 by storing and fermenting the same, a fermentation device 50 having a rotary container type fermenter 52 which is of a hermetic type and is rotatable is used and a prescribed amount of the raw materials 10 are fed into the rotary container type fermenter 52 of the fermentation device 50 and is subjected to the fermentation treatment by the batch system of fermenting the raw materials by rotating the fermenter 5.COPYRIGHT: (C)2002,JPO",EBARA CORP; 株式会社荏原製作所,NOMOTO MASAO; 野本　正雄; NANBARA KENJI; 南原　健二,2
CN202680843,10.04.2017,25.07.2017,CN,一种好氧堆肥反应器,本发明涉及一种好氧堆肥反应器。本发明属于堆肥发酵技术领域。一种好氧堆肥反应器，其特点是：好氧堆肥反应器包括罐体、搅拌器、传感器和控制监测模块；罐体顶部设有法兰盖，法兰盖设有进料口和排气口，罐体的外壁设有水浴夹套；搅拌器由搅拌电机、连轴器和搅拌桨组成，搅拌电机通过连轴器与搅拌桨连接，搅拌轴设置在罐体中央；罐体配备有pH传感器、氧气传感器、温度传感器和水分传感器，控制监测模块连接pH传感器、氧气传感器、温度传感器和水分传感器，控制监测模块控制搅拌电机、水浴夹套和进气口进气控制机构。本发明能够提高物料在罐内混合均匀性，保持罐内温度分布和氧浓度分布均匀且恒定，易于控制堆肥发酵条件和实时监测等。,"BEIJING SECURITY ENVIRONMENTAL PROTECTION ENGINEERING TECHNOLOGY RESEARCH INSTITUTE, CNOOC ENERGY TECHNOLOGY & SERVICES LIMITED; CHINA OFFSHORE ENVIRONMENTAL SERVICE LTD.; TIANJIN UNIVERSITY OF SCIENCE & TECHNOLOGY",BAI HE; ZHAO GUANGYU; XIAO CHENGLEI; LIU TAO; WANG XINXIN; MA ZHENGZHAO; CAO XINGTAO; ZHONG CHENG; ZHANG WENHUI; LING ZEXING,2
CN155944897,07.10.2008,29.07.2009,CN,新型全液压肥料翻抛机,本实用新型涉及一种新型全液压肥料翻抛机，主要用于有机肥料的翻抛。包括履带行走系统(1)、机架(2)、发动机(3)、司机室(4)、液压系统(5)、转子提升系统(6)、转子系统(7)、行走液压马达(8)和转子液压马达(9)，所述履带行走系统(1)有二套，左右各一套，向下装置在机架(2)底部，履带行走系统(1)与行走液压马达(8)相连，所述发动机(3)、液压系统(5)和司机室(4)均安装在机架(2)顶部，所述转子系统(7)连接于左右两履带行走系统(1)之间，与转子液压马达(9)相连，转子系统(7)的两端与转子提升系统(6)相连接。本实用新型采用全液压传动、履带行走，并改进了翻转转子刀具，具有噪声小、能耗低、生产效率高，行走转弯半径小，操作方便等优点，且刀片结构合理，使得肥料翻堆效果较好。,江阴市联业生物科技有限公司,陆建明; 沈其荣; 田晋跃,1
JP266696751,14.04.1994,23.05.1995,JP,FERMENTATION COMPOSTING DEVICE FOR ORGANIC WASTE,"PURPOSE: To provide a device which collects and propagates the soil microorganisms existing in the land and efficiently composts org. waste by preparing a fermentation tank having a function to control the conditions for fermentation of org. waste and improving the environment. CONSTITUTION: Vegetable sludge and, if necessary, sludge incineration ashes and solidifying agent are incorporated into the org. waste and the org. waste is pretreated to shape maintaining org. waste. The waste is thrown in a feed port la of the fermentation tank 1. The fermentation tank has an inclined part 6a for collecting water and drain port 7 in the bottom 6 near the feed port 1a to execute water draining of the waste thrown therein and to adjust the moisture content. Vent pipes 4 scattered with blowoff holes 3 are disposed nearly over the entire surface of the base part 2 of the fermentation tank 1 and the fresh air contg. the soil microorganisms, such as bacteria of the natural world, is compressed from a fan of a compressor and is blown off after warming up to 30 to 40C, by which the air is supplied deep into the waste to ferment the waste. While the waste is changed over by a changeover transporting device 9 housed in the fermentation tank 1 while traveling, the waste is transported to a discharge port 1b side.COPYRIGHT: (C)1995,JPO",HASAKA MASARU; 葉坂　勝,HASAKA MASARU; 葉坂　勝,1
CN380619523,16.05.2022,25.11.2022,CN,自然友好型无电源有机物快速发酵方法,本发明提供一种无电源有机物快速发酵方法，其特征在于，包括如下步骤：步骤(a)，有机物预处理步骤，准备在碳氮比、pH及水分含量方面具有适合好氧发酵条件的有机物；步骤(b)，将完成预处理的上述有机物加入到无电源有机物快速发酵装置的发酵槽中；步骤(c)，利用由上述无电源有机物快速发酵装置的透明侧壁和透明上部盖提供的阳光及由竖管和横管的自然空气循环提供的氧气来发酵有机物；以及步骤(d)，通过拆解无电源有机物快速发酵装置或打开底面将完成发酵的上述有机物排出到发酵槽外。,黄肇锋,郑承镇; 南相浩; 金致虎; 金钟吾; 金凤來; 黄肇锋; 吴银默; 吴丽花,0
CN360123426,16.08.2021,26.04.2022,CN,一种用于翻堆机加护装置,本实用新型涉及翻堆机保护技术领域，且公开了一种用于翻堆机加护装置，包括底座，所述底座的下端设置有第一连接板，且第一连接板的下端安装有轮子，所述底座的左端连接有固定块，所述旋转块的后端安装有螺纹柱，所述底座的上端设置有立板，所述顶板的中间放置有入水管，所述堵块的上端设置有把手，所述堵块的下端安装有存放箱，所述第二连接板的左端连接有伸缩柱，所述出口的上端安装有出水管，且出水管的上端放置有喷水头，所述喷水头的右端连接有销连接柱，且销连接柱的右端连接有支撑柱，所述支撑柱的右端设置有销连接块。该用于翻堆机加护装置方便进行移动，更加方便该加护装置的固定安装，能够对翻堆机的翻堆刃进行清洗。,JINGMEN ZIYUAN ENVIRONMENTAL PROTECTION EQUIPMENT LIMITED COMPANY; 荆门志远环保设备有限公司,HUANG WEI; 黄伟,1
JP269096791,06.11.2000,14.05.2002,JP,METHOD FOR ELIMINATING GARBAGE,"PROBLEM TO BE SOLVED: To provide a method for decomposing and eliminating garbage, which decomposes and eliminates a large amount of garbage with high speed without adding microorganisms to garbage and emitting an offensive odor, while the garbage is finally recycled by composting.SOLUTION: Garbage is decomposed and eliminated, while stirring, after the garbage has been thrown into a treatment tank for stirring refuse under warm atmosphere condition maintained by adding thereto a mixture of coffee- lees and blast furnace granulated slag, or one or two types of rice polishings or wood chips as a main aggregate based on this mixture and storing the same therein.COPYRIGHT: (C)2002,JPO",NIPPON RECYCLING KK; 日本リサイクリング株式会社,FUJINAGA MINORU; 藤永　實,0
EP12659067,17.02.1993,06.09.1995,EP,KOMPOSTIERANLAGE.,"A compost maker, comprising an upright container (1) having on its top end a cover (2) for introducing material to be composted in the container, having in its lower part a hatch (3) for removing composted material from the container, and containing an air tube system (4) for guiding air in among the material to be composted. The air tube system (4) comprises at least two tubes (5) on different heights, the lower tube being connected through the wall (6) of the container with an air intake aperture (7), and which are interconnected with a connecting tube (8) and their lower parts provided with holes (9). Furthermore, the cover (2) is fitted with an exit duct (10), the air flowing through said holes (9) and upward through the material to be composted and through the exit duct out from the container, while the material to be composted runs, supported by the transverse tubes, in controlled manner downward as the combustion of the material progresses.",FAVORIT OY,KARINIEMI PEKKA,2
CN339483401,05.08.2021,12.10.2021,CN,一种正反双向翻抛机,本发明公开了一种正反双向翻抛机，涉及农用环保机械技术领域。包括机架，用以固定各系统零件；驾驶系统，用以控制各部件的动作；驾驶系统通过转动180度，实现前后两种工作状态；驾驶系统内置两套控制程序；通过驾驶系统前后位置变换以更换不同控制程序；动力系统，用以为整机提供动力；翻抛系统，用以回转翻抛配料；两套行走系统，用以驱动整机行走。本发明正、反向均可工作，驾驶员的视野方向与工作方向保持一致；无需掉头；工作时，可沿墙体自动保持直线行驶，避免破坏墙体；无需交换覆膜滚筒，节省更换时间，工作空间需求小；设置有菌剂喷淋系统，在翻抛过程中对肥料添加菌剂，使菌剂与肥料充分混合，提升发酵效果。,"ZHONGNONG CHUANGDA (HEBEI) ENVIRONMENTAL PROTECTION TECHNOLOGY CO., LTD.; 中农创达（河北）环保科技有限公司",MA RUIQIANG; 马瑞强; LI NAN; 李男; ZHANG FENGNIAN; 张丰年; XUE YANFENG; 薛艳峰; WANG XIAO; 王笑; WANG XUESHENG; 王学升,1
CN345964534,08.06.2021,17.12.2021,CN,一种立式有氧发酵罐用热回收除尘一体设备,本实用新型属于畜禽粪便无害化处理设备技术领域，具体为一种立式有氧发酵罐用热回收除尘一体设备，包括排风机，所述排风机的底端进气口设置有上锥体，且所述上锥体的外壁开口处设置有上清污管道，所述上锥体的底端开口处通过法兰密封设置有换热设备，且所述换热设备的左右侧壁开口处分别设置有空气出口管道和空气入口管道管道，所述换热设备的底端设置有除尘结构，且所述换热设备的底端延伸至除尘结构的内腔并设置有导流管，本实用新型可有效解决立式有氧发酵罐在使用过程中的除尘与热回收问题，使得进入除臭塔的气流清洁，提高供风温度，节省电能提高发酵效率，降低用户成本。,"KAZUO CHUANGHE ENVIRONMENTAL PROTECTION TECHNOLOGY CO., LTD.; 喀左创合环保科技有限公司",LI XIAOGUANG; 李晓光; CHE YANMING; 车彦明; WANG YUFEI; 王宇飞; JIA LIWEI; 贾力伟; SUN XIAOFEI; 孙晓飞; HU QINGYI; 胡清义,2
CN98017703,22.10.2013,15.01.2014,CN,以污泥为原料的生物有机肥的制备工艺,本发明利用复合生物菌将污泥制作成生物有机肥，具体方法步骤如下：A）控制污泥的水份含量为60～65%；B）将0.02%的放线菌、0.05%的酵母菌、0.02%的米曲霉菌、0.02%的芽孢杆菌与污泥混合，并搅拌均匀，再加入20~30%的秸秆粉、蘑菇渣、花生壳粉、或稻壳、锯末，以便调节通气性；C）采用槽式好氧发酵的方式；D）将发酵好的物料晾干或烘干，再粉碎，粉碎后过筛，未经过筛网的粗料重复粉碎、过筛；经筛网过滤后得到的粉末为成品，包装。具有发酵快，发酵好，既能高温发酵，又能低温发酵，大大缩短制作时间，降低成本等特点，应用极其广泛。,Xie Mingying,Xie Mingying,0
WO2018014755,11.07.2017,25.01.2018,WO,一种厨余有机物好氧堆肥的建堆方法,本发明公开了一种厨余有机物好氧堆肥的建堆方法：1)在堆肥槽内铺设一层调理剂；2)将厨余有机物铺设在调理剂上；3)再在上述厨余有机物上铺设一层调理剂；4)重复步骤2)、3)，得到混合物料；5)将得到的混合物料堆成条堆；6)将物料堆满堆肥槽的整条槽后，铺盖防水透气膜；7)插入传感器，开启通风，开始一次好氧发酵20-40天后，得到发酵残余物；8)将发酵残余物转运至另一条槽后，重复步骤5)和6)，开始二次好氧发酵7-20天即得。本发明的建堆方法在堆肥槽内铺设调理剂，并与厨余有机物混合建堆，使得堆体具有更好的孔隙率，有利于空气流通，从而使得好氧堆肥过程发酵均匀，提高了堆肥品质，缩短了堆肥周期。,"KINGFA SCI. & TECH. CO., LTD.; 金发科技股份有限公司","WANG, Chaojun; 王超军; OUYANG, Chunping; 欧阳春平; ZHANG, Jiayuan; 张佳源; YANG, Biao; 杨彪; LIANG, Jiahua; 梁嘉华; WU, Shangxuan; 吴尚轩; ZENG, Xiangbin; 曾祥斌; CAI, Tongmin; 蔡彤旻; HUANG, Xianbo; 黄险波",0
JP270107867,19.05.2003,02.12.2004,JP,HORIZONTAL FERMENTATION TANK AND OPERATION METHOD THEREOF,"PROBLEM TO BE SOLVED: To provide a horizontal fermentation apparatus capable of giving dry state proper for a desired product and producing a fertilizer which is restored from the dried product, and its operation method.SOLUTION: The horizontal fermentation tank is a plane or oval horizontal fermentation tank comprising side walls 1a, 1b; a raw material throwing inlet and a fertilizer discharge outlet 4Db, 4Fb and provided with a stirring apparatus for turning over accumulated compost converted from the raw material. In the fermentation tank, the space from the raw material throwing inlet to the fertilizer discharge outlet 4Db, 4Fb is vertically divided into a plurality of zones in the longitudinal direction of the fermentation tank and any one of the divided zone in the longitudinal direction is set to be a fermentation zone 1F for carrying out fermentation of organic resources as raw materials and remaining zones are set to be drying zones 1D for carrying out fermentation and/or drying treatment of organic resources as raw materials. Preferably, a plurality of these zones formed by vertical partitioning in the longitudinal direction are respectively partitioned in the horizontal direction by blocks and a ventilation means capable of changing ventilation conditions respectively is installed in the ventilation floors 21De in the respective blocks.COPYRIGHT: (C)2005,JPO&NCIPI",EBARA CORP; 株式会社荏原製作所,NOMOTO MASAO; 野本　正雄; NANBARA KENJI; 南原　健二,1
KR5851175,03.07.2009,25.03.2010,KR,"MICROPOWDER GRINDING APPARATUS FOR FOOD WASTE, WHICH RECYCLABLE BY PULVERIZING ALL FOOD WASTES",PURPOSE: A micropowder grinding apparatus for food waste is provided to reduce volume of food waste by a first crushing device and second grinding device and promote fermentation of the food waste. CONSTITUTION: A micropowder grinding apparatus for food waste comprises: a base(100); a vertical plate(110) mounted at the upper circumference of the base; an upper plate(120) mounted at the upper end of the vertical plate; a sink bowl(130) mounted at the upper plate; a water supply pipe(191) mounted at the one side of the sink bowl; an inlet unit(140) mounted at the bottom of the sink bowl; a crushing device(150) for crushing food waste; and a grinding device(160) mounted at the lower end of the crushing device. COPYRIGHT KIPO 2010,,김도환,0
KR469472,05.12.2002,14.01.2003,KR,COMPOSTING SYSTEM FOR ORGANICS,"PURPOSE: A system for composting organics is provided, which is characterized by having multi-storied fermentation room equipped with air supplier, drier and temperature sensor in each room. Accordingly, the system decreases the site for installation, produces high quality compost and prevents bad smell.CONSTITUTION: The composting system comprises the parts of: a first disposal (A) device including organic crusher over a hopper(1), organic heaping preventer, organic supplier and dehydrator(6); a second disposal (B) device including screen for separating dehydrated organics from vinyl and impurities, gravity separator and dehydrator(17); a waste water disposal device(C) for separating organics from waste water, where organics move into a fermentation room and waste water flows into a storing vessel; a multi-storied fermentation device(D) comprising a dryer(23) for drying organics dehydrated from the second disposal device, a spreader(24) for scattering organics, and a multi-storied fermentation room having several rooms equipped with a quantitative dropper(26) for dropping fermented organics to the next fermentation room and an air supplier(30) on each floor, and a discharger(32) on the lowest bottom; a deodorizer(E) for removing bad smell.© KIPO 2003","PARK, SE JUN; 박세준","PARK, SE JUN; 박세준",2
CN289639691,20.06.2019,21.02.2020,CN,一种用于果枝为堆肥原料的小型发酵池,本实用新型公开了一种用于果枝为堆肥原料的小型发酵池，包括发酵池、万向轮和盖板，发酵池的底端死角均固定安装有万向轮，发酵池的上端两侧外璧均开设有滑槽，滑槽与盖板滑动式连接，发酵池的一侧连接有支撑板，支撑板顶端一侧固定安装有气泵，气泵的一端连接有输氧管，本实用新型通过设置有保温层，能够减小发酵池热量的散失，使得有机肥发酵的效果更好，通过设有气泵，对发酵池内好氧菌提供足量的氧气，以供发酵，氧气通过输氧管输入到发酵池内，具有通风打氧功能，增加堆料含氧量可以促进堆料发酵腐熟，通过设置的盖板，防止雨水淋洗，影响堆料的湿度，同时将盖板与发酵池滑动式连接，方便加入原料。,"INSTITUTE OF AGRICULTURAL ENVIRONMENT AND RESOURCE, SHANXI ACADEMY OF AGRICULTURAL SCIENCES; 山西省农业科学院农业环境与资源研究所",NIE DU; 聂督; WANG SHUTAO; 王庶陶; CAO YANZHUAN; 曹燕篆; WANG BIN; 王斌; ZHOU PENGCHENG; 周鹏程; HUO XIAOLAN; 霍晓兰; LI LEI; 李磊; YAN MIN; 闫敏,1
CN313812130,17.04.2020,11.12.2020,CN,一种底部通风的好氧发酵罐,本实用新型公开了一种底部通风的好氧发酵罐，包括发酵罐体，所述发酵罐体的下端设有通风管，所述通风管的内顶部设有通风设备，所述通风管的入口处设有上防尘板与下防尘板，所述上防尘板与下防尘板的上端均设有多个均匀分布的防尘孔，所述通风管的外壁设有与上防尘板与下防尘板配合的固定机构，所述通风管的下方设有与上防尘板与下防尘板配合的清理机构。本实用新型，发酵罐的通风口内设有防尘板可以有效的将灰尘进行过滤，降低通风口的堵塞几率，并且防尘板可以方便的进行拆卸安装，便于通风口的检修与维护。,"QINGDAO ZEYU KAISHENG MACHINERY MANUFACTURING CO., LTD.; 青岛泽宇凯昇机械制造有限公司",WANG DONG; 王东,2
